機械番号,製番,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,330136100,331-07906-4501,下部丁番肘（高水位型）,1,0.05,0.07,2025/09/02 08:41:47,2025/09/02 08:52:52
A214,330136100,331-07906-4601,上部丁番肘（高水位型）,1,0.05,0.07,2025/09/02 08:41:50,2025/09/02 08:54:43
A214,130383500,121-10071-6601,アーム,4,0.02,0.1,2025/09/02 08:59:34,2025/09/02 09:29:24
A214,130035000,121-10071-6601,アーム,4,0.02,0.1,2025/09/02 08:59:42,2025/09/02 10:52:00
A214,130464400,121-10071-6601,アーム,4,0.02,0.1,2025/09/02 08:59:51,2025/09/02 10:52:10
A214,130035100,121-10071-6601,アーム,4,0.02,0.1,2025/09/02 08:59:56,2025/09/02 13:15:09
A214,130659600,121-10071-6601,アーム,2,0.02,0.06,2025/09/02 09:00:05,2025/09/02 13:15:16
A214,130659400,121-10071-6601,アーム,2,0.02,0.06,2025/09/02 09:00:10,2025/09/02 13:15:19
A214,130659500,121-10071-6601,アーム,2,0.02,0.06,2025/09/02 09:00:12,2025/09/02 13:15:24
A214,130541100,322-02323-4000,■原■ラックＡ,1,0.1,0.3,2025/09/02 09:23:42,2025/09/02 09:36:50
A214,130592800,112-27400-1500,カンヌキテコストッパー＊Ａ,1,0.1,0.2,2025/09/02 09:29:52,2025/09/02 09:49:32
A214,130578500,312-02952-3801,本体　塗装＊Ｃ４０３，シルバ－メタリ,1,0.2,0.7,2025/09/02 09:49:47,2025/09/02 10:46:33
A214,330142401,201-06515-7101-ST,フレーム化粧Ｄ,80,0.1,0.9,2025/09/02 10:54:51,2025/09/02 11:52:17
A214,330144601,201-06315-8502-ST,下駆動軸アーム,40,0.08,1.88,2025/09/02 14:11:57,2025/09/03 10:47:30
A214,130565300,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/02 15:31:52,2025/09/02 15:32:20
A214,130565400,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/02 15:31:57,2025/09/02 15:32:24
A214,130565600,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/02 15:32:01,2025/09/02 15:32:26
A214,130565700,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/02 15:32:04,2025/09/02 15:32:29
