機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130457100,2507824158,322-02383-2500,■原■カンヌキ受タップ座★外注素材図加工,4,0.5,2.5,2025/09/09 00:00:00,2025/09/09 11:49:54
A214,130591900,2507903913,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8.083,2025/09/09 09:06:16,2025/09/09 23:59:59
A214,130592000,2507904157,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8.083,2025/09/09 09:06:28,2025/09/09 23:59:59
A214,130592100,2507904410,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/09 09:06:31,2025/09/09 23:59:59
A214,130578500,2507895544,112-27498-6300,かんぬきてこストッパー ★外周レーザ加工,1,0.1,0.2,2025/09/09 10:20:56,2025/09/09 11:45:20
A214,130710200,2508978241,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/09/09 10:26:50,2025/09/09 15:59:38
A214,130710300,2508978609,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/09/09 10:26:56,2025/09/09 15:59:47
A214,130710402,2508978954,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,4,0.14,0.612,2025/09/09 10:27:00,2025/09/09 15:59:50
A214,130710401,2508980126,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,4,0.14,0.612,2025/09/09 10:27:05,2025/09/09 15:59:53
A214,130710403,2508979247,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,4,0.14,0.612,2025/09/09 10:27:27,2025/09/09 16:00:01
A214,130710404,2508979540,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,4,0.14,0.612,2025/09/09 10:27:39,2025/09/09 16:00:04
A214,130710405,2508979833,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,4,0.14,0.612,2025/09/09 10:27:42,2025/09/09 16:00:07
A214,130590000,2507902797,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/09/09 10:27:51,2025/09/09 16:00:27
A214,130590200,2507903057,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,4,0.14,0.612,2025/09/09 10:28:03,2025/09/09 16:00:37
A214,130590600,2507903640,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/09/09 10:28:10,2025/09/09 16:00:42
A214,130650000,2508939118,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/09/09 10:28:22,2025/09/09 16:00:49
A214,130650300,2508939529,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/09/09 10:28:31,2025/09/09 16:00:54
