機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,状態,開始日時1,停止日時1,開始日時2,停止日時2,開始日時3,停止日時3,開始日時4,停止日時4,開始日時5,停止日時5
A214,130861100,2509081700,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 8:18,,,,,,,,
A214,130861202,2509081945,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 8:18,,,,,,,,
A214,130861201,2509082232,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130914700,2509111262,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130913500,2509111526,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130914100,2509111790,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:26,,,,,,,,
A214,130914900,2509112043,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130913600,2509112278,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130914300,2509112513,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:26,,,,,,,,
A214,130915002,2509112779,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:26,,,,,,,,
A214,130915001,2509113092,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130913800,2509113405,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130914400,2509113718,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8,中断,2025/10/25 0:00,2025/10/25 10:25,,,,,,,,
A214,130925700,2510121326,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:26,,,,,,,,
A214,130925800,2510121569,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:26,,,,,,,,
A214,130925900,2510121815,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4,中断,2025/10/25 0:00,2025/10/25 10:26,,,,,,,,
A214,130816600,2509054338,201-06510-1501,天板Ｃ,1,0.5,0.66667,完了,2025/10/25 8:18,2025/10/25 8:44,,,,,,,,
A214,130819800,2509051522,311-03225-2405,丁番アーム＊Ｒ★素材SUS304 t55×55×175,1,1.24225,0.92694,着手,2025/10/25 8:43,2025/10/25 9:32,2025/10/25 9:33,2025/10/25 11:52,2025/10/25 13:00,2025/10/25 23:59,,,,
A214,130829700,2509061229,311-03225-2405,丁番アーム＊Ｒ★素材SUS304 t55×55×175,1,1.24225,0.92694,着手,2025/10/25 8:56,2025/10/25 9:33,2025/10/25 11:26,2025/10/25 11:53,2025/10/25 13:00,2025/10/25 23:59,,,,
A214,130829700,2509061235,311-03225-4002,丁番アーム（地）★素材SUS304t55×55×165,1,0.88556,0.83999,着手,2025/10/25 9:34,2025/10/25 11:25,2025/10/25 15:20,2025/10/25 23:59,,,,,,
A214,130819800,2509051528,311-03225-4002,丁番アーム（地）★素材SUS304t55×55×165,1,0.88556,0.83999,着手,2025/10/25 9:34,2025/10/25 11:25,2025/10/25 15:20,2025/10/25 23:59,,,,,,
A214,130817100,2509052898,201-06510-5901,天板Ｓ,1,0.5,0.66667,完了,2025/10/25 11:53,2025/10/25 12:53,,,,,,,,
A214,130952400,2510134809,311-00241-1701,大型肘付戸当り　★311-00241-1700-HIより,4,0.02,0.04,中断,2025/10/25 14:08,2025/10/25 14:31,,,,,,,,
